ts_code,cost_price,price
C44315305,,69.11
C44315306,,69.11
C44315307,,69.11
C44315308,,69.11
C42127408,,32.52
C42127407,,65.04
C42127406,,65.04
C42127405,,65.04
C42918916,,65.04
C41963608,,81.30
C43487712,,48.78
C43865724,,44.72
C43865708,,40.65
C43324408,,36.59
C43324424,,36.59
C43459332,,32.52
C44973536,,36.59
C44250724,,32.52
C44469803,,36.59
C44318608,,48.78
C44973508,,40.65
C44469804,,28.46
C44469724,,69.11
C44469723,,69.11
C44469722,,69.11
C42127456,,65.04
CTK540Y,,56.91
C593-BBBT,,81.30
C593-BBBU,,69.11
CTK540K,,36.59
C593-BBBS,,81.30
C593-BBBR,,81.30
CTK865K,,52.85
CTK865C,,56.91
CTK865M,,56.91
CTK865Y,,56.91
CCF330X,,93.50
CCF331A,,130.08
CCF332A,,130.08
CCF333A,,130.08
CTK560K,,81.30
CTK560C,,81.30
CTK560M,,81.30
CTK560Y,,81.30
CRRM1-4431,,81.30
CRRG5-7573-N,,130.08
CRRM1-1821,,130.08
CRRM1-1829,,130.08
CRRM1-1825,,130.08
CRRG5-7603,,130.08
CRRM1-2743,,130.08
CRC4198A,,130.08
CRRG5-6517,,130.08
CRRG5-7451,,142.28
CRRM1-3146,,150.41
CRC8556A,,227.65
CRCB458A,,162.60
CRRM1-6739,,101.63
CRCC519-6791,,138.21
CRRM1-5606,,138.21
CRCE710-69010,,313.01
CRCE978A,,296.75
CTN135BK,,36.59
CQ7583A,,73.17
CQ7582A,,73.17
CQ7581A,,73.17
C44064012,,56.91
C44064011,,56.91
C44064010,,56.91
C44064009,,56.91
50383396,,52.85
50383402,,73.17
50383419,,73.17
50383426,,73.17
50383433,,56.91
50383440,,77.24
50383457,,77.24
50383464,,77.24
CCF400X,,60.98
CCF401X,,60.98
CCF402X,,60.98
CCF403X,,60.98
C113R00723,,81.30
CCE341A,,162.60
50360045,,56.91
CCE340A,,101.63
50383631,,36.59
50383648,,52.85
50383655,,52.85
50383662,,52.85
50383853,,40.65
50383860,,56.91
50383877,,56.91
50383884,,56.91
50383938,,40.65
50383945,,65.04
50383952,,65.04
50383969,,65.04
50383976,,52.85
50383983,,77.24
50383990,,77.24
50384003,,77.24
50384010,,77.24
50384027,,77.24
50384034,,77.24
50384041,,40.65
50384058,,77.24
50384065,,77.24
50384072,,77.24
CT18124010,,12.20
CCB322EE,,14.64
CC9393A,,22.77
CT18114010,,14.64
CC9392A,,22.77
CC9391A,,22.77
CT048440,,16.26
CT048140,,16.26
CC2P43AE,,56.91
CCLI521C,,10.57
CC2P42AE,,40.65
CC8719EE,,28.46
CT061340,,9.76
CT048640,,16.26
CT048540,,16.26
CT7014,,8.95
CT7013,,8.95
CC4909AE,,17.89
CC6658A,,25.21
CC4908AE,,17.89
CC4907AE,,17.89
CC4906AE,,26.83
CC4836A,,31.71
CC4844,,30.08
CC4838AE,,26.83
CC4837A,,26.83
CCN048A,,16.26
CCN047A,,16.26
CCN046A,,16.26
CCN045A,,24.39
CCN056AE,,8.95
CCN055AE,,8.95
CCN054AE,,8.95
CCN053AE,,20.33
CC4912A,,32.52
CC4911A,,32.52
CC4913A,,32.52
CC9363E,,33.34
CCC641EE,,24.39
CC13T04454010,,40.65
CC13T080640,,8.95
CT044240,,11.55
CC13T080540,,8.95
CC13T080440,,8.95
CT044140,,16.26
CC13T080340,,8.95
CC13T080240,,8.95
CC13T080140,,8.95
CC13T544800,,89.43
CC13T543800,,56.91
CC13T544300,,81.30
CC13T543300,,56.91
CT0715,,31.71
CT0714,,8.95
CC13T543400,,56.91
CC13T544100,,81.30
CC13T543100,,56.91
CT0713,,8.95
CT044440,,13.01
CT0712,,8.95
CT044340,,13.01
CT0711,,8.95
CC13T544400,,81.30
CC13T544600,,81.30
CC13T543600,,56.91
CC13T544500,,81.30
CC13T543500,,56.91
CC13T544700,,81.30
CC13T543700,,56.91
CC13T544200,,81.30
CC13T543200,,56.91
CLC985MP,,24.39
CLC900MP,,32.52
CLC1100MP,,32.52
CLC1000MP,,32.52
CLC985Y,,8.95
CLC985M,,8.95
CLC985C,,8.95
CLC985BK,,14.64
CLC121M,,9.76
CLC121C,,9.76
CLC121BK,,12.20
CLC900Y,,8.95
CLC900M,,8.95
CLC1280XLMP,,60.98
CLC1280XLM,,13.01
CLC900C,,8.95
CLC900BK,,16.26
CLC1280XLC,,13.01
CLC1280XLBK,,21.14
CLC121Y,,9.76
CLC1100BK,,14.64
CLC1100Y,,8.95
CLC1100M,,8.95
CLC1100C,,8.95
CLC1280XLY,,13.01
CLC1000Y,,8.95
